id,amnt_water,date,sponsor,altitude,installer,longitude,latitude,name,basin,village,region,region_id,district_id,lga,ward,demand,meeting,recorder,op_mgmnt,op_name,permit,year,e_type,e_type_grp,e_type_class,mgmnt,mgmnt_grp,fee,fee_type,w_quality,quality_grp,w_quantity,quantity_grp,source,source_type,source_class,type,type_grp,status
69572,6000,14/3/2011,Roman,1390,Roman,34.93809275,-9.85632177,none,Lake Nyasa,Mnyusi B,Iringa,11,5,Ludewa,Mundindi,109,TRUE,GeoData Consultants Ltd,VWC,Roman,FALSE,1999,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
41119,500,21/3/2011,Caritas,336,DWE,36.4159298,-8.65746276,Tulileli Twaweni,Rufiji,Minazini,Morogoro,5,4,Ulanga,Itete,186,TRUE,GeoData Consultants Ltd,Water Board,Itete wa,TRUE,2006,gravity,gravity,gravity,wug,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
35572,0,25/3/2013,Government Of Tanzania,1624,DWE,37.51533082,-3.26034397,Kwa John Mamuye,Pangani,Kotete,Kilimanjaro,3,4,Moshi Rural,Marangu Mashariki,60,FALSE,GeoData Consultants Ltd,VWC,Arisi/himo,TRUE,1972,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,broken
8857,0,40880,Government Of Tanzania,1799,DWE,38.20481328,-4.6658645,Kwa Mzee Halihaji,Pangani,Kongoloi B,Tanga,4,1,Lushoto,Shume,1,TRUE,GeoData Consultants Ltd,VWC,Mlomboza forest,TRUE,1967,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
3516,0,41310,Private,1361,Private,34.97406662,-10.97439546,Kwa Mzee Izack,Ruvuma / Southern Coast,Tope,Ruvuma,10,3,Mbinga,Kilimani,60,,GeoData Consultants Ltd,WUG,Government,TRUE,2011,gravity,gravity,gravity,wug,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,broken
35205,1000,40666,Danida,1417,DANID,35.549176,-7.7233599,none,Rufiji,Mhanga,Iringa,11,1,Iringa Rural,Nzihi,210,TRUE,GeoData Consultants Ltd,VWC,Nzihi,TRUE,1985,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
26227,0,31/7/2011,Dads,0,DADS,32.61991299,-8.76707178,Simkwaya,Lake Rukwa,Magamba,Mbeya,12,6,Mbozi,Nambinzo,0,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,india mark ii,india mark ii,handpump,vwc,user-group,pay when scheme fails,on failure,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,non-functional
1339,0,18/3/2013,Government Of Tanzania,833,Government,37.55602543,-3.38645083,Mama Kenedy,Pangani,Mtemboni,Kilimanjaro,3,4,Moshi Rural,Makuyuni,1,TRUE,GeoData Consultants Ltd,Water authority,Mananga-himo pipeline,TRUE,2011,gravity,gravity,gravity,water authority,commercial,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,broken
66389,0,16/1/2013,Wateraid,0,SEMA,32.72768354,-4.50469086,Ngwatu,Lake Tanganyika,Ngwatu,Tabora,14,1,Nzega,Mambali,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,afridev,afridev,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional
62299,5000,26/2/2011,Wsdp,98,Wachina,38.85934314,-6.78345548,Juma Mkalabure,Wami / Ruvu,Vikuge,Pwani,6,2,Kibaha,Soga,10,TRUE,GeoData Consultants Ltd,Parastatal,upper Ruvu,TRUE,2010,mono,mono,motorpump,private operator,commercial,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
