id,amnt_water,date,sponsor,altitude,installer,longitude,latitude,name,no_private,basin,village,region,region_id,district_id,lga,ward,demand,meeting,recorder,op_mgmnt,op_name,permit,year,e_type,e_type_grp,e_type_class,mgmnt,mgmnt_grp,fee,fee_type,w_quality,quality_grp,w_quantity,quantity_grp,source,source_type,source_class,type,type_grp,status
61184,0,41223,Dwsp,0,DWE,33.4403943,-3.61831503,Kwa Mzee Budaga,0,Internal,Bubalaji,Shinyanga,17,7,Shinyanga Urban,Ngokolo,0,,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,broken
24497,500,40731,European Union,1777,Accra,34.83361283,-9.0244526,Kwa Juma Kidagayo,0,Rufiji,Magangasenga,Iringa,11,4,Njombe,Mtwango,95,TRUE,GeoData Consultants Ltd,WUG,Mtwango water supplied sche,TRUE,2011,gravity,gravity,gravity,wug,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
5595,0,40736,Danida,0,Central government,33.913798,-9.64924192,Shuleni-Nsasa,0,Lake Nyasa,Nsasa,Mbeya,12,3,Kyela,Ngonga,0,TRUE,GeoData Consultants Ltd,VWC,Ngana water supplied scheme,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
39659,0,13/7/2011,Ded,0,DED,31.69101979,-2.52743555,Kwa Mzee Joseph,0,Lake Victoria,Kazunguti B,Kagera,18,8,Chato,Nyamirembe,0,TRUE,GeoData Consultants Ltd,VWC,Kazunguti,TRUE,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non-functional
20184,0,40551,Kashwas,0,KASHWA,32.88574028,-3.25007724,Kwa Mchi,0,Lake Victoria,Ngubhalu,Mwanza,19,7,Missungwi,Nhundulu,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,functional
44069,0,40582,Unicef,0,UNICEF,30.52060425,-2.86322466,Mrusange,0,Lake Victoria,Mumirama,Kagera,18,30,Ngara,Bugarama,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
50718,0,25/7/2011,Ded,0,DED,31.61550892,-2.73868234,Ilyamchele Center,0,Lake Victoria,Ilyamchele Center,Kagera,18,8,Chato,Katende,0,TRUE,GeoData Consultants Ltd,WUA,,TRUE,0,afridev,afridev,handpump,wua,user-group,pay monthly,monthly,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump,non-functional
66285,0,24/3/2013,Magadini-makiwaru Water,1262,Magadini-Makiwaru wa,37.01670404,-3.2226695,Kwa Giliasi Lyimo,0,Pangani,Makiwaru,Kilimanjaro,3,7,Siha,Siha Kati,1,TRUE,GeoData Consultants Ltd,Water Board,BL Makiwaru,TRUE,2006,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
27972,0,41339,Government Of Tanzania,1314,Community,36.8922031,-3.32562865,Elifuraha Joseph,0,Pangani,Napoko,Arusha,2,7,Meru,Maji ya Chai,89,TRUE,GeoData Consultants Ltd,VWC,Maambreni gravity water supply,TRUE,2011,gravity,gravity,gravity,vwc,user-group,unknown,unknown,fluoride,fluoride,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
20460,0,40820,,0,,34.0200599,-8.84940772,Kwa Mzee Kahemele,0,Rufiji,Mashineni,Mbeya,12,7,Mbarali,Chimala,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,broken
20198,0,37991,Government Of Tanzania,86,DWE,38.95977599,-5.24727813,Kwa Bi Shoga,0,Pangani,Mapojoni Kati,Tanga,4,4,Muheza,Ngomeni,120,TRUE,GeoData Consultants Ltd,VWC,Borehole,TRUE,2008,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty abandoned,salty,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
49441,3000,25/7/2011,Hesawa,1192,DWE,32.89652699,-2.06340857,Mwigoe,0,Lake Victoria,Mwigoe,Mwanza,19,1,Ukerewe,Bwiro,250,TRUE,GeoData Consultants Ltd,,,TRUE,2007,nira/tanira,nira/tanira,handpump,vwc,user-group,pay annually,annually,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
